SampleID	DNAPlate	Tube	AnimalID	Year	Cohort2	Cohort	Date	Sex	Diet	Location
S429	7	68	8788	2013	1	UNL1	5/17/13	Steer	Common	UNL
S463	7	55	8789	2013	1	UNL1	5/17/13	Steer	Common	UNL
S453	7	70	8790	2013	1	UNL1	5/17/13	Steer	Common	UNL
S398	7	10	8791	2013	1	UNL1	5/17/13	Steer	Common	UNL
S447	7	22	8793	2013	1	UNL1	5/17/13	Steer	Common	UNL
S193	1	1	8794	2013	1	UNL1	5/17/13	Steer	Common	UNL
S408	7	90	8795	2013	1	UNL1	5/17/13	Steer	Common	UNL
S199	1	7	8796	2013	1	UNL1	5/17/13	Steer	Common	UNL
S404	7	58	8797	2013	1	UNL1	5/17/13	Steer	Common	UNL
S390	7	41	8800	2013	1	UNL1	5/17/13	Steer	Common	UNL
S464	7	63	8801	2013	1	UNL1	5/17/13	Steer	Common	UNL
S388	7	25	8802	2013	1	UNL1	5/17/13	Steer	Common	UNL
S391	7	49	8803	2013	1	UNL1	5/17/13	Steer	Common	UNL
S196	1	4	8804	2013	1	UNL1	5/17/13	Steer	Common	UNL
S450	7	46	8805	2013	1	UNL1	5/17/13	Steer	Common	UNL
S194	1	2	8806	2013	1	UNL1	5/17/13	Steer	Common	UNL
S412	7	27	8807	2013	1	UNL1	5/17/13	Steer	Common	UNL
S425	7	36	8808	2013	1	UNL1	5/17/13	Steer	Common	UNL
S413	7	35	8809	2013	1	UNL1	5/17/13	Steer	Common	UNL
S451	7	54	8812	2013	1	UNL1	5/17/13	Steer	Common	UNL
S403	7	50	8813	2013	1	UNL1	5/17/13	Steer	Common	UNL
S469	7	8	8814	2013	1	UNL1	5/17/13	Steer	Common	UNL
S197	1	5	8815	2013	1	UNL1	5/17/13	Steer	Common	UNL
S437	7	37	8817	2013	1	UNL1	5/17/13	Steer	Common	UNL
S201	1	9	8819	2013	1	UNL1	5/17/13	Steer	Common	UNL
S452	7	62	8825	2013	1	UNL1	5/17/13	Steer	Common	UNL
S416	7	59	8828	2013	1	UNL1	5/17/13	Steer	Common	UNL
S414	7	43	8829	2013	1	UNL1	5/17/13	Steer	Common	UNL
