SampleID	Cohort2	Sex	Diet
S429	UNL1	Steer	Common
S463	UNL1	Steer	Common
S453	UNL1	Steer	Common
S398	UNL1	Steer	Common
S207	UNL1	Steer	Common
S447	UNL1	Steer	Common
S193	UNL1	Steer	Common
S408	UNL1	Steer	Common
S199	UNL1	Steer	Common
S404	UNL1	Steer	Common
S438	UNL1	Steer	Common
S390	UNL1	Steer	Common
S464	UNL1	Steer	Common
S388	UNL1	Steer	Common
S391	UNL1	Steer	Common
S196	UNL1	Steer	Common
S450	UNL1	Steer	Common
S194	UNL1	Steer	Common
S412	UNL1	Steer	Common
S425	UNL1	Steer	Common
S413	UNL1	Steer	Common
S451	UNL1	Steer	Common
S403	UNL1	Steer	Common
S469	UNL1	Steer	Common
S197	UNL1	Steer	Common
S437	UNL1	Steer	Common
S201	UNL1	Steer	Common
S452	UNL1	Steer	Common
S416	UNL1	Steer	Common
S414	UNL1	Steer	Common
S204	UNL1	Steer	Common
S474	UNL1	Steer	Common
S475	UNL1	Steer	Common
S406	UNL1	Steer	Common
S210	UNL1	Steer	Common
S402	UNL1	Steer	Common
S405	UNL1	Steer	Common
S415	UNL1	Steer	Common
S202	UNL1	Steer	Common
S449	UNL1	Steer	Common
S417	UNL1	Steer	Common
S471	UNL1	Steer	Common
S392	UNL1	Steer	Common
S459	UNL1	Steer	Common
S203	UNL1	Steer	Common
S457	UNL1	Steer	Common
S397	UNL1	Steer	Common
S422	UNL1	Steer	Common
S473	UNL1	Steer	Common
S195	UNL1	Steer	Common
S439	UNL1	Steer	Common
S440	UNL1	Steer	Common
S409	UNL1	Steer	Common
S396	UNL1	Steer	Common
S222	UNL1	Steer	Common
S393	UNL1	Steer	Common
S206	UNL1	Steer	Common
S461	UNL1	Steer	Common
S477	UNL1	Steer	Common
S431	UNL1	Steer	Common
S460	UNL1	Steer	Common
S441	UNL1	Steer	Common
S215	UNL1	Steer	Common
S476	UNL1	Steer	Common
S200	UNL1	Steer	Common
S389	UNL1	Steer	Common
S418	UNL1	Steer	Common
S445	UNL1	Steer	Common
S433	UNL1	Steer	Common
S407	UNL1	Steer	Common
S221	UNL1	Steer	Common
S467	UNL1	Steer	Common
S454	UNL1	Steer	Common
S208	UNL1	Steer	Common
S385	UNL1	Steer	Common
S443	UNL1	Steer	Common
S456	UNL1	Steer	Common
S419	UNL1	Steer	Common
S209	UNL1	Steer	Common
S442	UNL1	Steer	Common
S472	UNL1	Steer	Common
S421	UNL1	Steer	Common
S386	UNL1	Steer	Common
S448	UNL1	Steer	Common
S455	UNL1	Steer	Common
S395	UNL1	Steer	Common
S410	UNL1	Steer	Common
S213	UNL1	Steer	Common
S212	UNL1	Steer	Common
S479	UNL1	Steer	Common
S466	UNL1	Steer	Common
S394	UNL1	Steer	Common
S430	UNL1	Steer	Common
S214	UNL1	Steer	Common
S424	UNL1	Steer	Common
S211	UNL1	Steer	Common
S465	UNL1	Steer	Common
S444	UNL1	Steer	Common
S436	UNL1	Steer	Common
S458	UNL1	Steer	Common
S217	UNL1	Steer	Common
S216	UNL1	Steer	Common
S434	UNL1	Steer	Common
S423	UNL1	Steer	Common
S220	UNL1	Steer	Common
S387	UNL1	Steer	Common
S435	UNL1	Steer	Common
S411	UNL1	Steer	Common
S218	UNL1	Steer	Common
S399	UNL1	Steer	Common
S446	UNL1	Steer	Common
S28	UNL2	Steer	Common
S30	UNL2	Steer	Common
S37	UNL2	Steer	Common
S33	UNL2	Steer	Common
S36	UNL2	Steer	Common
S34	UNL2	Steer	Common
S31	UNL2	Steer	Common
S27	UNL2	Steer	Common
S25	UNL2	Steer	Common
S29	UNL2	Steer	Common
S35	UNL2	Steer	Common
S13	UNL2	Steer	Common
S32	UNL2	Steer	Common
S39	UNL2	Steer	Common
S26	UNL2	Steer	Common
S24	UNL2	Steer	Common
S44	UNL2	Steer	Common
S42	UNL2	Steer	Common
S46	UNL2	Steer	Common
S47	UNL2	Steer	Common
S3	UNL2	Steer	Common
S1	UNL2	Steer	Common
S41	UNL2	Steer	Common
S7	UNL2	Steer	Common
S2	UNL2	Steer	Common
S43	UNL2	Steer	Common
S48	UNL2	Steer	Common
