k__Bacteria.p__Fibrobacteres	k__Bacteria.p__Firmicutes	k__Bacteria.p__Lentisphaerae	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__BS11	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__RF16	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Paraprevotellaceae.	k__Bacteria.p__Fibrobacteres.c__Fibrobacteria.o__Fibrobacterales.f__Fibrobacteraceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Aeromonadales.f__Succinivibrionaceae	k__Bacteria.p__Verrucomicrobia.c__Verruco.5.o__WCHB1.41.f__RFP12	OTU41	OTU57	OTU2337	OTU21	OTU43	OTU27	OTU30	OTU53	OTU4	OTU12	OTU2737	OTU3	OTU72	OTU64	OTU19	OTU28
S513	0.000117901	0.174494007	0.000314404	0.125957949	0.020082531	0.007781489	0	0.519905679	0.002161525	0.019375123	0.026763608	0.000117901	0.011986638	0.023698173	0.062880723	0.04778935	0.110041265	0.007034781	0.000510905875417567	0.00133621536647671	0.00294753389663981	0.031047357044606	0.00334053841619179	0.00966791118097858	0.00102181175083513	0.00396934564747495	0.00192572214580468	0.0280212222440558	0	0.00204362350167027	0.00263313028099823	0.00723128315975634	0.00565926508154844	0
S391	0.014090467	0.240638091	0.005881606	0.0126518	0.028900267	0.01891423	0.053019083	0.330427792	0.007997292	0.022087759	0.068802099	0.014090467	0.005458469	0.053653789	0.042821478	0.032200736	0.007531841	0.01150933	0.00194643083823467	0.00270807768797867	0.000761646849744002	0.00148097998561334	0.000465450852621335	0.000846274277493336	0.00143866627173867	0.00160792112723734	0.0404095967503068	0.000465450852621335	0.000719333135869335	0.00571235137308001	0.011551643887784	0.00448525367071468	0.00668556679219735	0.00401980281809334
S535	0.002869353	0.241819292	0.000549451	0.038034188	0.003601954	0.017216117	0	0.241025641	0.011660562	0.12954823	0.087851038	0.002869353	0.000610501	0.05958486	0.052869353	0.1002442	0.023931624	0.017032967	0.00115995115995116	0.000549450549450549	0.0111111111111111	0.0281440781440781	0.00665445665445665	0.0272893772893773	0.000549450549450549	0.00293040293040293	0.00586080586080586	0.0369352869352869	0.00103785103785104	0.0102564102564103	0.0283272283272283	0.0000610500610500611	0.00146520146520147	0.000915750915750916
S234	0.000535361	0.142009744	0.0000107	0.564634081	0.000406874	0.000621018	0	0.222774238	0.001606082	0.012880775	0.009657905	0.000535361	0.042957332	0.044820387	0.006349376	0.030419187	0.559194818	0.000353338	0.0000321216339204454	0.000074950479147706	0.000139193746988597	0.0000856576904545211	0.000128486535681782	0.00587825900744151	0.000685261523636169	0.0000535360565340757	0.000481824508806681	0.0000107072113068151	0.000074950479147706	0.00150971679426093	0	0.0000214144226136303	0	0.0000428288452272606
S130	0.022097678	0.122578062	0.008646918	0.012810248	0.015532426	0.119855885	0.008406725	0.550360288	0.03202562	0.001521217	0.04979984	0.022097678	0.001040833	0.027381906	0.024179343	0.043634908	0.005364291	0.117453963	0.0000800640512409928	0.000400320256204964	0.000320256204963971	0.0172137710168134	0.00592473979183347	0.00528422738190552	0.00288230584467574	0.0011208967173739	0.0564451561248999	0.0000800640512409928	0.00920736589271417	0.0167333867093675	0.000320256204963971	0.00144115292233787	0.0100080064051241	0.00488390712570056
S195	0.024697397	0.282809658	0.011577297	0.022602697	0.026177485	0.031784258	0.020031358	0.320075259	0.014637817	0.01678269	0.042997805	0.024697397	0.005832549	0.08852932	0.03979931	0.030291627	0.00925682	0.027381624	0.00373784885544058	0.016230793352148	0.000288491690185011	0.0051552210724365	0.00401379742866102	0.00174349325807463	0.00506741925368454	0.00280965820006272	0.100106616494199	0.000702414550015679	0.00309814989024773	0.0115396676074004	0.0038758231420508	0.00388836625901537	0.00363750391972405	0.0099466917529006
S312	0.008194898	0.158002077	0.001334915	0.208358054	0.033335805	0.011495105	0.005339662	0.387681697	0.085137941	0.005562148	0.025140908	0.008194898	0.001705725	0.017279739	0.023991397	0.049985168	0.205057846	0.010271433	0.00608128151883714	0.000630376742806289	0.000556214773064373	0.00133491545535449	0.000778700682290122	0.00129783447048354	0.00296647878967665	0.00140907742509641	0.0451646395728271	0.000222485909225749	0.00578463363986948	0.0714921388312074	0.000222485909225749	0.00155740136458024	0.00463512310886977	0.000296647878967665
S422	0.021484065	0.287934042	0.008244807	0.009196131	0.004835897	0.074123989	0.038528619	0.245600127	0.009037577	0.030045981	0.09600444	0.021484065	0.007848422	0.083399397	0.055176788	0.047645473	0.003408911	0.057158713	0.000951323925796734	0.0141113048993182	0.0000792769938163945	0.0110195021404788	0.00396384969081972	0.02814333280482	0.0057872205485968	0.00071349294434755	0.0141905818931346	0.00245758680830823	0.0014269858886951	0.00547011257333122	0.00237830981449183	0.0000792769938163945	0.00547011257333122	0.000792769938163945
S173	0.008825745	0.193592365	0.009328024	0.016324041	0.024719262	0.040863918	0.009866179	0.501596527	0.01033258	0.002152621	0.071897535	0.008825745	0.002977792	0.060596276	0.035984645	0.040074624	0.00168622	0.035518243	0.000215262081584329	0.00556093710759516	0.000322893122376493	0.00330068525095971	0.0036235783733362	0.00588383022997166	0.00721127973307502	0.000789294299142539	0.0670182613999211	0.000143508054389553	0.0111218742151903	0.00782118896423062	0.000645786244752987	0.0018297276934668	0.0140637893301762	0.00358770135973882
S508	0.00420236	0.140963772	0.0000693	0.348564963	0.001662472	0.007688933	0	0.342792491	0.008035281	0.040060957	0.038190676	0.00420236	0.008912697	0.044886744	0.033688148	0.01463899	0.341153109	0.007111686	0.000484887667690318	0.0000692696668129026	0.000992865224318271	0.00868179824055046	0.00341730356276986	0.00921286568611605	0.0025629776720774	0.000646516890253758	0.0418850585328685	0.000138539333625805	0.000300168556189245	0.007827472349858	0.00484887667690318	0.0000230898889376342	0.000207809000438708	0.00133921355838278
